# CDFTB-CI Extracted Data with Energy Fluctuations
# Frame  Time(fs)   J_lowdin(meV)      dE1(Ha)           dE2(Ha)
# dE1 = E1(CDFTB-CI) - E(QM/MM)
# dE2 = E2(CDFTB-CI) - E(QM/MM)
   187     748.00        49.5336       0.2299920919       0.2384029074
   188     752.00        49.8252       0.2297168839       0.2393792016
   189     756.00        49.9991       0.2298410243       0.2380922917
   190     760.00       -54.3470       0.2304887626       0.2371800680
   191     764.00        50.6965       0.2310649009       0.2378241251
   192     768.00       -47.5347       0.2304039290       0.2398505476
   193     772.00        50.4348       0.2301676673       0.2412609923
   194     776.00        55.0600       0.2308300910       0.2398561498
   195     780.00        57.8984       0.2313645909       0.2383241899
   196     784.00       -56.0412       0.2310710742       0.2389843367
   197     788.00        49.3188       0.2279991447       0.2404047477
   198     792.00        53.6054       0.2248798195       0.2414547438
   199     796.00       -52.2703       0.2259035631       0.2393088190
   200     800.00       -53.4452       0.2289085563       0.2361736097
   201     804.00       -54.1910       0.2305587558       0.2359522389
   202     808.00       -45.6396       0.2301194532       0.2375720097
   203     812.00        38.9362       0.2270858119       0.2401067535
   204     816.00        32.5579       0.2239948999       0.2398783144
   205     820.00        23.9213       0.2238535036       0.2342473239
   206     824.00        28.2992       0.2251404251       0.2311724073
   207     828.00       -28.5277       0.2267549311       0.2334411171
   208     832.00        27.0511       0.2284501754       0.2387981207
   209     836.00       -24.9811       0.2295288971       0.2443615115
   210     840.00       -31.6461       0.2310833368       0.2444288820
   211     844.00       -35.6152       0.2311195794       0.2402735317
   212     848.00        41.8562       0.2282601573       0.2370609612
   213     852.00        37.9371       0.2253347174       0.2367749300
   214     856.00       -31.4333       0.2235209371       0.2383779867
   215     860.00       -23.5389       0.2238241077       0.2390360915
   216     864.00       -29.2155       0.2253891901       0.2370705660
   217     868.00        35.5376       0.2255330658       0.2346614279
   218     872.00       -39.5600       0.2252019229       0.2351489310
   219     876.00        40.7335       0.2253907904       0.2379799450
   220     880.00       -46.0647       0.2266296254       0.2406835606
   221     884.00        49.4434       0.2276785293       0.2402142953
   222     888.00        44.2970       0.2278296777       0.2378787850
   223     892.00       -45.4520       0.2264431161       0.2368220002
   224     896.00        43.1311       0.2257380446       0.2370123814
   225     900.00       -43.0568       0.2267712654       0.2390799254
   226     904.00        40.3155       0.2278453126       0.2408736823
   227     908.00        35.4954       0.2282540838       0.2397453131
   228     912.00        46.2027       0.2267067381       0.2376233731
   229     916.00        47.7098       0.2250789412       0.2354679797
   230     920.00        52.3005       0.2248763265       0.2355698310
   231     924.00        54.3747       0.2264356241       0.2373845686
   232     928.00       -53.2402       0.2281340222       0.2387977876
   233     932.00        50.4838       0.2284736590       0.2388317805
   234     936.00       -49.0274       0.2272530381       0.2364414252
   235     940.00        48.7368       0.2263121307       0.2334240918
   236     944.00        52.3217       0.2254503069       0.2327036757
   237     948.00        50.9708       0.2253894681       0.2335862511
   238     952.00       -55.8918       0.2253392137       0.2352147708
   239     956.00       -59.7627       0.2256657462       0.2357364619
   240     960.00        65.4814       0.2276536249       0.2356459482
   241     964.00        68.4193       0.2303954470       0.2376012332
   242     968.00       -66.7401       0.2316556648       0.2402031598
   243     972.00        55.5533       0.2296560595       0.2419412314
   244     976.00        56.0772       0.2261002473       0.2394297316
   245     980.00       -61.6244       0.2238701758       0.2341935277
   246     984.00       -62.4506       0.2240094555       0.2306693512
   247     988.00       -57.5721       0.2255058843       0.2312133119
   248     992.00        61.3156       0.2266818805       0.2346747545
   249     996.00        66.6870       0.2261161595       0.2370394654
   250    1000.00       -70.8305       0.2249627098       0.2351006084
   251    1004.00        70.8402       0.2242416689       0.2322864216
   252    1008.00        70.5405       0.2237344302       0.2319742037
   253    1012.00       -70.6784       0.2241158945       0.2348839948
   254    1016.00       -69.0433       0.2255862861       0.2386781049
   255    1020.00       -72.3578       0.2275526517       0.2394322883
   256    1024.00       -73.3930       0.2291263127       0.2371451339
   257    1028.00       -71.8521       0.2282265274       0.2352354619
   258    1032.00        71.3264       0.2252492617       0.2355040422
   259    1036.00       -75.2855       0.2225124726       0.2377705397
   260    1040.00        78.9053       0.2223613959       0.2397524639
   261    1044.00       -77.1750       0.2253383877       0.2390706008
   262    1048.00        74.0832       0.2290220649       0.2382392126
   263    1052.00       -79.7783       0.2302290850       0.2389999243
   264    1056.00       -83.6541       0.2283520842       0.2401633105
   265    1060.00        83.5863       0.2260938764       0.2405361271
   266    1064.00       -80.8913       0.2244678822       0.2374976114
   267    1068.00       -85.4343       0.2238899547       0.2336897507
   268    1072.00        91.4431       0.2242904077       0.2325831147
   269    1076.00        95.7879       0.2252004105       0.2350672046
   270    1080.00        94.8310       0.2269492745       0.2396810406
   271    1084.00        95.1592       0.2276676381       0.2412419199
   272    1088.00       -98.5821       0.2270900430       0.2395127608
   273    1092.00       108.1978       0.2263448799       0.2384254244
   274    1096.00      -111.8955       0.2265152968       0.2394152491
   275    1100.00       103.9017       0.2280534311       0.2426457669
   276    1104.00        98.9750       0.2292254440       0.2436849233
   277    1108.00      -102.4609       0.2288817018       0.2408532066
   278    1112.00      -106.4786       0.2272141640       0.2376767535
   279    1116.00      -108.4674       0.2256747909       0.2364841218
   280    1120.00       109.3271       0.2252166907       0.2383034031
   281    1124.00      -108.3174       0.2255275639       0.2404147729
   282    1128.00      -111.2824       0.2258670950       0.2402584316
   283    1132.00       112.8248       0.2266147676       0.2388973754
   284    1136.00       113.3167       0.2276850895       0.2388091637
   285    1140.00      -108.1558       0.2291539966       0.2398424634
   286    1144.00       107.0450       0.2297464629       0.2407125708
   287    1148.00      -110.8160       0.2288781038       0.2416615371
   288    1152.00       111.2351       0.2272428223       0.2411422474
   289    1156.00      -110.7372       0.2270064761       0.2413404440
   290    1160.00       105.4839       0.2279208900       0.2417797479
   291    1164.00       105.2653       0.2294599689       0.2411456324
   292    1168.00       109.9793       0.2305089165       0.2409271621
   293    1172.00      -107.2169       0.2302364609       0.2413205919
   294    1176.00       -99.1798       0.2296422025       0.2427747340
   295    1180.00       -91.0393       0.2292097855       0.2442465460
   296    1184.00        91.0888       0.2287862836       0.2426362875
   297    1188.00       -96.5907       0.2290573450       0.2392419764
   298    1192.00       -96.5052       0.2288139042       0.2374264205
   299    1196.00       -89.2448       0.2281790929       0.2373063600
   300    1200.00       -82.8616       0.2276801759       0.2387601585
   301    1204.00        79.6372       0.2272177818       0.2387963335
   302    1208.00       -83.5778       0.2273549811       0.2372772648
   303    1212.00       -83.5810       0.2285895141       0.2375634021
   304    1216.00        77.6759       0.2297571626       0.2409670481
   305    1220.00        67.6608       0.2300475141       0.2447404500
   306    1224.00        73.2319       0.2300845183       0.2441814301
   307    1228.00       -76.3249       0.2297471494       0.2392127644
   308    1232.00       -81.1058       0.2288342201       0.2356715042
   309    1236.00       -77.5838       0.2282791624       0.2365080110
   310    1240.00       -71.1931       0.2284116422       0.2417635795
   311    1244.00        67.3698       0.2284562956       0.2447930654
   312    1248.00        67.4173       0.2283626803       0.2406908885
   313    1252.00        68.1620       0.2286204143       0.2346828554
   314    1256.00        69.2279       0.2277701939       0.2332495370
   315    1260.00        59.8599       0.2277357125       0.2359904279
   316    1264.00       -54.1704       0.2278985298       0.2412896811
   317    1268.00       -58.1922       0.2283042306       0.2424885405
   318    1272.00        55.3137       0.2280956724       0.2378485593
   319    1276.00        56.6281       0.2261883525       0.2342031997
   320    1280.00       -53.3400       0.2243008076       0.2342924032
   321    1284.00        50.5044       0.2236484473       0.2375566076
   322    1288.00       -50.7558       0.2247180383       0.2391658687
   323    1292.00        46.4658       0.2275622195       0.2371267756
   324    1296.00        41.1923       0.2301687231       0.2360420768
   325    1300.00        43.7088       0.2299288783       0.2377282677
   326    1304.00       -37.2821       0.2277464682       0.2412467792
   327    1308.00        37.8575       0.2253877093       0.2412030077
   328    1312.00        41.6130       0.2251032625       0.2364672825
   329    1316.00        43.6754       0.2257993545       0.2311740907
   330    1320.00       -44.9597       0.2259480232       0.2298891908
   331    1324.00        37.5728       0.2255564345       0.2332372197
   332    1328.00        34.3642       0.2245584497       0.2381568043
   333    1332.00        37.4084       0.2249108804       0.2386536347
   334    1336.00       -37.1806       0.2272547415       0.2359593463
   335    1340.00        40.2955       0.2291395345       0.2339800515
   336    1344.00        37.8393       0.2290293329       0.2357824326
   337    1348.00        32.0932       0.2280695385       0.2393210591
   338    1352.00        36.1570       0.2271507908       0.2399962936
   339    1356.00       -37.6105       0.2278094125       0.2382587273
   340    1360.00       -40.1066       0.2283666325       0.2357732182
   341    1364.00       -37.9251       0.2275505566       0.2351212518
   342    1368.00        37.6054       0.2263881525       0.2355336772
   343    1372.00       -40.4657       0.2263527774       0.2359131935
   344    1376.00        49.9521       0.2274970421       0.2354279132
   345    1380.00       -46.6403       0.2292199237       0.2353073862
   346    1384.00       -45.1955       0.2302085819       0.2364790071
   347    1388.00        41.1110       0.2298860568       0.2377501621
   348    1392.00       -41.3825       0.2291943622       0.2377878442
   349    1396.00       -45.2796       0.2279910198       0.2358601597
   350    1400.00       -45.2629       0.2261000437       0.2337395048
   351    1404.00        44.6880       0.2248124794       0.2335045728
   352    1408.00        50.2399       0.2254157711       0.2339088970
   353    1412.00        52.8596       0.2276803451       0.2348954963
   354    1416.00        56.8532       0.2298885485       0.2361568117
   355    1420.00        61.4364       0.2301604399       0.2369692822
   356    1424.00        56.6895       0.2292353594       0.2377852133
   357    1428.00        53.0336       0.2280820161       0.2379308255
   358    1432.00       -55.9265       0.2275237401       0.2367102280
   359    1436.00       -60.7243       0.2277275382       0.2346315499
   360    1440.00        58.3679       0.2276590285       0.2331557093
   361    1444.00        55.9615       0.2262156145       0.2329370972
   362    1448.00       -53.5830       0.2247747318       0.2331334249
   363    1452.00       -59.1184       0.2251135396       0.2334552425
   364    1456.00       -58.7959       0.2258453126       0.2327746805
   365    1460.00        60.2263       0.2264603119       0.2335479679
   366    1464.00       -60.6314       0.2268407913       0.2372627946
   367    1468.00       -61.5934       0.2270373799       0.2400507942
   368    1472.00        59.4280       0.2288158022       0.2403361475
   369    1476.00        66.6788       0.2301466922       0.2379244488
   370    1480.00        66.8506       0.2295600254       0.2362306554
   371    1484.00        64.8147       0.2281625474       0.2376355441
   372    1488.00        59.5656       0.2268916088       0.2401029886
   373    1492.00       -61.9785       0.2267573294       0.2396369188
   374    1496.00        61.4704       0.2269731608       0.2354910562
   375    1500.00       -61.1564       0.2263268927       0.2325452215
   376    1504.00        58.7649       0.2261839552       0.2331947123
   377    1508.00       -61.1790       0.2263781206       0.2368473343
   378    1512.00       -62.6323       0.2275969487       0.2395066569
   379    1516.00        62.5917       0.2292320341       0.2383469463
   380    1520.00       -68.1730       0.2287449137       0.2361382465
   381    1524.00        72.3877       0.2264646194       0.2352032341
   382    1528.00        77.4191       0.2246113119       0.2364916059
   383    1532.00       -78.2541       0.2246169650       0.2387205851
   384    1536.00        81.7691       0.2260130722       0.2382742823
   385    1540.00       -82.5499       0.2274975722       0.2374101241
   386    1544.00        83.7986       0.2276879134       0.2372525667
   387    1548.00       -85.8028       0.2279326872       0.2387571550
   388    1552.00        91.9054       0.2287237388       0.2415166386
   389    1556.00        94.9271       0.2297917799       0.2413320815
   390    1560.00        94.0484       0.2296367746       0.2385019474
   391    1564.00        97.0768       0.2277394759       0.2358675078
   392    1568.00        96.0251       0.2251742087       0.2340646781
   393    1572.00       -94.6620       0.2237620427       0.2350170828
   394    1576.00        97.2919       0.2236001615       0.2356841071
   395    1580.00        98.8811       0.2243646890       0.2353033091
   396    1584.00      -104.1215       0.2248728397       0.2348981850
   397    1588.00      -110.4627       0.2244618241       0.2347823715
   398    1592.00      -110.3639       0.2250661368       0.2367434760
   399    1596.00      -110.7849       0.2264888094       0.2397508009
   400    1600.00      -110.4624       0.2274849855       0.2411340496
   401    1604.00      -114.9854       0.2276784574       0.2410704917
   402    1608.00      -117.0320       0.2272535048       0.2401164462
   403    1612.00       112.0308       0.2271186194       0.2392330058
   404    1616.00       107.2673       0.2273080851       0.2387094708
   405    1620.00      -107.6776       0.2264249056       0.2380294019
   406    1624.00      -109.9972       0.2243978861       0.2368800630
   407    1628.00       113.1614       0.2235461420       0.2368011890
   408    1632.00      -113.3275       0.2250426590       0.2366235172
   409    1636.00            nan                nan                nan
   410    1640.00       108.0667       0.2298429868       0.2396114361
   411    1644.00      -100.6861       0.2290414552       0.2402607436
   412    1648.00       -94.4678       0.2269344694       0.2407560342
   413    1652.00       -86.2506       0.2247846254       0.2381650632
   414    1656.00        83.6763       0.2241383471       0.2354013444
   415    1660.00       -85.5735       0.2250646727       0.2358867480
   416    1664.00        89.3986       0.2265500693       0.2384361718
   417    1668.00       -85.7555       0.2281001076       0.2419747044
   418    1672.00        85.2092       0.2291584666       0.2432867265
   419    1676.00       -91.1953       0.2303467811       0.2409611319
   420    1680.00       -97.0923       0.2301031850       0.2384707221
   421    1684.00       -96.5247       0.2291249595       0.2374199128
   422    1688.00       -86.5435       0.2279932991       0.2385332283
   423    1692.00       -79.4207       0.2266710960       0.2398782324
   424    1696.00       -74.2453       0.2261201022       0.2376365520
   425    1700.00       -73.2429       0.2265369463       0.2337866144
   426    1704.00        74.6320       0.2263533813       0.2325486745
   427    1708.00        74.9480       0.2256229664       0.2334825706
   428    1712.00        66.0400       0.2252422357       0.2354200468
   429    1716.00       -68.9072       0.2258272658       0.2355398761
   430    1720.00        73.8018       0.2278461525       0.2342289467
   431    1724.00        73.7314       0.2308646902       0.2363572004
   432    1728.00        69.2244       0.2326792510       0.2394595897
   433    1732.00       -57.7250       0.2310064007       0.2426565836
   434    1736.00        53.3564       0.2288414410       0.2425110538
   435    1740.00        60.7714       0.2271434561       0.2363753202
   436    1744.00       -63.4192       0.2268169358       0.2316589907
   437    1748.00        69.2586       0.2274911834       0.2327022177
   438    1752.00        68.2521       0.2300161589       0.2353472312
   439    1756.00       -69.4494       0.2316547061       0.2393498787
   440    1760.00       -69.8514       0.2322598389       0.2392559549
   441    1764.00       -64.6889       0.2312860437       0.2367299051
   442    1768.00        64.1591       0.2295509792       0.2351013296
   443    1772.00       -55.9185       0.2278052521       0.2350288251
   444    1776.00       -44.5951       0.2273153908       0.2370318842
   445    1780.00       -39.6970       0.2279202459       0.2371043746
   446    1784.00       -40.7263       0.2290651976       0.2346128079
   447    1788.00       -38.0637       0.2300669763       0.2337216174
   448    1792.00        42.9766       0.2306466630       0.2358561343
   449    1796.00       -42.8965       0.2308952359       0.2393572622
   450    1800.00       -42.8128       0.2316580997       0.2415482745
   451    1804.00        41.6406       0.2329609691       0.2406568549
   452    1808.00        44.6958       0.2333253295       0.2378537010
   453    1812.00        47.0453       0.2317281584       0.2358653078
   454    1816.00        46.5916       0.2299209276       0.2355311264
   455    1820.00       -44.1757       0.2291216510       0.2368765636
   456    1824.00       -40.3602       0.2296140980       0.2383999361
   457    1828.00        39.9746       0.2299749674       0.2365182606
   458    1832.00        45.6941       0.2291680062       0.2345840103
   459    1836.00        43.5044       0.2284445330       0.2347070698
   460    1840.00       -48.4695       0.2290449239       0.2364713304
   461    1844.00       -50.4396       0.2303007083       0.2396824315
   462    1848.00       -45.6081       0.2301445977       0.2401328510
   463    1852.00       -41.2399       0.2291110244       0.2394673852
   464    1856.00        38.0585       0.2278530467       0.2389179454
   465    1860.00        37.8208       0.2280594226       0.2379784172
   466    1864.00       -32.5249       0.2285341124       0.2374916571
   467    1868.00       -37.6293       0.2281211009       0.2372302431
   468    1872.00        33.3925       0.2266252285       0.2367452678
   469    1876.00       -34.9640       0.2258893452       0.2365388870
   470    1880.00        40.2240       0.2272048283       0.2369975081
   471    1884.00        47.9310       0.2300531661       0.2385712611
   472    1888.00        60.8190       0.2313918786       0.2399550432
   473    1892.00        62.1280       0.2301467383       0.2400088834
   474    1896.00       -67.2068       0.2266803683       0.2373996304
   475    1900.00        70.1073       0.2240060538       0.2347628117
   476    1904.00        73.0224       0.2230541437       0.2339302094
   477    1908.00       -68.3657       0.2234535463       0.2350086884
   478    1912.00        66.9030       0.2238604924       0.2375828075
   479    1916.00        66.2846       0.2252708281       0.2399266421
   480    1920.00       -69.5281       0.2279029860       0.2409188588
   481    1924.00        73.9961       0.2302737486       0.2398446778
   482    1928.00        80.7402       0.2306340355       0.2384976790
   483    1932.00        77.8091       0.2289174775       0.2379502108
   484    1936.00       -74.9979       0.2258353248       0.2371953614
   485    1940.00        71.4862       0.2249081740       0.2378512299
   486    1944.00        72.3585       0.2269044206       0.2384471402
   487    1948.00       -77.7669       0.2291105082       0.2377465860
   488    1952.00        76.1224       0.2282985444       0.2358891014
   489    1956.00       -76.9253       0.2246545919       0.2332427756
   490    1960.00       -77.1238       0.2230074700       0.2331761763
   491    1964.00       -81.0358       0.2242836207       0.2349905772
   492    1968.00       -84.2918       0.2272034616       0.2375821859
   493    1972.00        86.9604       0.2288804941       0.2399185083
   494    1976.00        86.3516       0.2283573128       0.2408202644
   495    1980.00        86.1182       0.2269956791       0.2397419094
   496    1984.00       -81.4188       0.2275546556       0.2375821817
   497    1988.00       -84.1060       0.2279948685       0.2365941721
   498    1992.00       -81.4196       0.2272889849       0.2361280831
   499    1996.00        74.4864       0.2268692394       0.2374858789
   500    2000.00       -65.7812       0.2272155644       0.2396961760
   501    2004.00        63.9199       0.2282406709       0.2397103847
   502    2008.00        65.5312       0.2300242863       0.2387509458
   503    2012.00        65.4754       0.2295352415       0.2359594119
   504    2016.00       -63.3949       0.2279022173       0.2338889148
   505    2020.00        62.1246       0.2271246111       0.2346337454
   506    2024.00       -65.0291       0.2264454220       0.2360886578
   507    2028.00        61.5819       0.2271186970       0.2377489945
   508    2032.00       -62.1454       0.2275444481       0.2386750183
   509    2036.00        59.0529       0.2267142501       0.2382555278
